ward,trend,p_value,slope
70,no trend,0.7544541774940892,-0.10847665811285251
71,no trend,0.9169652366288645,0.11094091032274753
72,no trend,0.34808262363292397,-0.22703232688852326
73,no trend,0.6021675277481957,-0.07622570857963584
74,no trend,0.6021675277481957,-0.25992903406095746
75,no trend,0.6021675277481957,-0.19723276803987816
76,no trend,0.6021675277481957,-0.16423873900322006
77,no trend,0.7544541774940892,-0.09339765519800017
78,no trend,0.34808262363292397,-0.1830662088795063
79,no trend,0.17530808080827365,-0.4866564170600096
80,no trend,0.17530808080827365,-0.28953259505611373
81,no trend,0.46551216987418664,-0.20792279189557306
82,no trend,0.34808262363292397,-0.262061427206114
83,no trend,0.7544541774940892,0.03974163484636971
84,no trend,0.6021675277481957,-0.2215308539301816
85,no trend,0.46551216987418664,-0.1984463237614264
86,no trend,0.34808262363292397,-0.1393964582167829
87,no trend,0.34808262363292397,-0.3423004711635086
88,no trend,0.46551216987418664,-0.2173542209412529
89,no trend,0.7544541774940892,-0.17695991763257285
90,no trend,0.46551216987418664,-0.26124645433623117
91,no trend,0.34808262363292397,-0.30717536001417933
92,no trend,0.46551216987418664,-0.3247714614562449
93,no trend,0.34808262363292397,-0.2734776391196995
94,no trend,0.7544541774940892,0.1634262184133088
95,no trend,0.9169652366288645,-0.06566495055824939
96,no trend,0.9169652366288645,-0.03337468681628838
97,no trend,0.9169652366288645,0.1715629286578224
98,no trend,0.7544541774940892,0.09008778405677731
99,no trend,0.34808262363292397,-0.23192247078175177
100,no trend,0.7544541774940892,-0.05304015851307601
101,no trend,0.9169652366288645,-0.02121429412930951
102,no trend,0.46551216987418664,-0.019556205221278048
103,no trend,0.6021675277481957,-0.07253843922117875
104,no trend,0.17530808080827365,-0.3009766327154
105,no trend,1.0,-0.010902700986862038
106,no trend,0.9169652366288645,-0.04163216349547767
107,no trend,0.34808262363292397,-0.2264060220476285
108,no trend,0.7544541774940892,-0.04148926897700018
109,no trend,0.7544541774940892,-0.18329144811379966
110,no trend,0.7544541774940892,-0.14657540956684142
111,no trend,0.17530808080827365,-0.27292896200660977
112,no trend,0.7544541774940892,-0.058704623961742655
113,no trend,0.2514521865080219,-0.21178748045262585
114,no trend,0.46551216987418664,-0.14213543471740628
115,no trend,0.2514521865080219,-0.23598569872728908
116,no trend,0.6021675277481957,-0.15248558870763373
117,no trend,0.2514521865080219,-0.38283409458822426
118,no trend,0.11785089502136503,-0.4050569768299094
119,no trend,0.2514521865080219,-0.21000138771722937
120,no trend,0.34808262363292397,-0.20494674322905065
121,no trend,0.17530808080827365,-0.1525405475593284
122,no trend,0.34808262363292397,-0.22325814262911542
123,no trend,0.2514521865080219,-0.13687642982497827
124,no trend,0.34808262363292397,-0.20759137592931154
125,no trend,0.2514521865080219,-0.20635125482345362
126,no trend,0.34808262363292397,-0.15599512902163326
